"FriendlyName","Value","Units","Serial","Min","Max","Mode","TestID","SubTest"
"PIDs supported [01 – 20]:",,"Binary",0,,,1,"00","1"
"Online Monitors since DTCs cleared:",,"Binary",1,,,1,"01","1"
"Check Engine Light:",,,2,,,1,"01","2"
"Number of Codes:",,,3,,,1,"01","3"
"Misfire Test:",,,4,,,1,"01","4"
"Fuel System Test:",,,5,,,1,"01","5"
"Components Test:",,,6,,,1,"01","6"
"Reserved/Special Test:",,,7,,,1,"01","7"
"Catalyst Test:",,,8,,,1,"01","8"
"Heated Catalyst Test:",,,9,,,1,"01","9"
"Evaporative System Test:",,,10,,,1,"01","10"
"Secondary Air System Test:",,,11,,,1,"01","11"
"A/C Refrigerant Test:",,,12,,,1,"01","12"
"O2 SensorTest:",,,13,,,1,"01","13"
"O2 Sensor Heater Test:",,,14,,,1,"01","14"
"EGR System Test:",,,15,,,1,"01","15"
"Freeze DTC:",,"NONE IN MODE 1",16,,,1,"02","1"
"Fuel System Status:",,,17,,,1,"03","1"
"Secondary Fuel System Status:",,,18,,,1,"03","2"
"Calculated engine load value:",," %",19,0,100,1,"04","1"
"Engine coolant temperature:",,"°C",20,-40,215,1,"05","1"
"Short term fuel % trim—Bank 1:",," %",21,-100,99.22,1,"06","1"
"Long term fuel % trim—Bank 1:",," %",22,-100,99.22,1,"07","1"
"Short term fuel % trim—Bank 2:",," %",23,-100,99.22,1,"08","1"
"Long term fuel % trim—Bank 2:",," %",24,-100,99.22,1,"09","1"
"Fuel pressure:",,"kPa (gauge)",25,0,765,1,"0A","1"
"Intake manifold absolute pressure:",,"kPa (absolute)",26,0,255,1,"0B","1"
"Engine RPM:",,"rpm",27,0,16383.75,1,"0C","1"
"Vehicle speed:",,"km/h",28,0,255,1,"0D","1"
"Timing advance:",,"°",29,-64,63.5,1,"0E","1"
"Intake air temperature:",,"°C",30,-40,215,1,"0F","1"
"MAF air flow rate:",,"g/s",31,0,655.35,1,"10","1"
"Throttle position:",," %",32,0,100,1,"11","1"
"Commanded secondary air status:",,,33,,,1,"12","1"
"Oxygen sensors present:",,"Binary",34,,,1,"13","1"
"Bank 1 Sensor 1 Volts:",,"V",35,0,1.275,1,"14","1"
"Bank 1 Sensor 1:",,"%",36,-100,99.2,1,"14","2"
"Bank 1 Sensor 2 Volts:",,"V",37,0,1.275,1,"15","1"
"Bank 1 Sensor 2:",,"%",38,-100,99.2,1,"15","2"
"Bank 1 Sensor 3 Volts:",,"V",39,0,1.275,1,"16","1"
"Bank 1 Sensor 3:",,"%",40,-100,99.2,1,"16","2"
"Bank 1 Sensor 4 Volts:",,"V",41,0,1.275,1,"17","1"
"Bank 1 Sensor 4 Volts:",,"%",42,-100,99.2,1,"17","2"
"Bank 2 Sensor 1 Volts:",,"V",43,0,1.275,1,"18","1"
"Bank 2 Sensor 1:",,"%",44,-100,99.2,1,"18","2"
"Bank 2 Sensor 2 Volts:",,"V",45,0,1.275,1,"19","1"
"Bank 2 Sensor 2:",,"%",46,-100,99.2,1,"19","2"
"Bank 2 Sensor 3 Volts:",,"V",47,0,1.275,1,"1A","1"
"Bank 2 Sensor 3:",,"%",48,-100,99.2,1,"1A","2"
"Bank 2 Sensor 4 Volts:",,"V",49,0,1.275,1,"1B","1"
"Bank 2 Sensor 4:",,"%",50,-100,99.2,1,"1B","2"
"OBD standards this vehicle conforms to:",,,51,,,1,"1C","1"
"Oxygen sensors present:",,"Binary",52,,,1,"1D","1"
"Auxiliary input status:",,,53,,,1,"1E","1"
"Run time since engine start:",,"seconds",54,0,65535,1,"1F","1"
"PIDs supported 21-40:",,"Binary",55,,,1,"20","1"
"Distance traveled with CEL:",,"km",56,0,65535,1,"21","1"
"Fuel Rail Pressure:",,"kPa",57,0,5177.265,1,"22","1"
"Fuel Rail Pressure (diesel):",,"kPa (gauge)",58,0,655350,1,"23","1"
"O2S1 lambda:",,"EQR",59,0,2,1,"24","1"
"O2S1 Volts:",,"V",60,0,8,1,"24","2"
